id,fecha,año,mes,semana,turno,maquina,sintoma,areas,minutos,observaciones
L4,12-06-2023,2023,jun,25,Turno Día,Lavadora de Botellas,Trabamiento de botellas en la salida - Mantenimiento,Mecánico,10.2,
L1,12-06-2023,2023,jun,25,Turno Día,Paletizadora,Problema en compactador,Paros Menores,7.45,
L3,12-06-2023,2023,jun,25,Turno Día,Decapsuladora,Ajustes por falla,Paros Menores,6.14,
L1,13-06-2023,2023,jun,25,Turno Día,Etiquetadora,Falla Etiquetadora,Mecánico,17.12,
L3,13-06-2023,2023,jun,25,Turno Día,Llenadora,Reparación - Llenadora,Mecánico,15.96,
L4,13-06-2023,2023,jun,25,Turno Día,Mixer,Falla valvula moduladora de jarabe,Eléctrico,14.6,
L1,13-06-2023,2023,jun,25,Turno Día,Etiquetadora,Falla Etiquetadora,Mecánico,11.2,
L4,13-06-2023,2023,jun,25,Turno Día,Decapsuladora,Ajuste o cambio de sensor - Decapsuladora,Paros Menores,9.45,
L3,13-06-2023,2023,jun,25,Turno Día,Alexus,Problema canal 3,Paros Menores,9.4,
L3,13-06-2023,2023,jun,25,Turno Día,Llenadora,Reparación - Llenadora,Paros Menores,7.5,
L3,13-06-2023,2023,jun,25,Turno Día,Omnivision,Ajuste eléctrico o mecánico,Paros Menores,7.44,
L3,13-06-2023,2023,jun,25,Turno Día,Llenadora,Estrella transferencia caída de botellas,Paros Menores,6.64,
L1,13-06-2023,2023,jun,25,Turno Día,Llenadora,Espumado al inicio de proceso,Paros Menores,5.77,
L1,13-06-2023,2023,jun,25,Turno Día,Etiquetadora,Falla Etiquetadora,Paros Menores,5.03,
L4,13-06-2023,2023,jun,25,Turno Día,Decapsuladora,Ajuste sensor entrada/salida,Paros Menores,3.6,
L4,14-06-2023,2023,jun,25,Turno Día,Capsuladora,Tapa girada cabezal N° 12,Mecánico,38.12,
L1,14-06-2023,2023,jun,25,Turno Día,Etiquetadora,Falla Etiquetadora,Mecánico,21.61,
L4,14-06-2023,2023,jun,25,Turno Día,Encajonadora,Problema en mesa de entrada,Mecánico,17.51,
L3,14-06-2023,2023,jun,25,Turno Día,Encajonadora,Cambio o reparación manguera de aire,Mecánico,16.48,
L4,14-06-2023,2023,jun,25,Turno Día,Encajonadora,Problema en mesa de entrada,Mecánico,14.8,
L4,14-06-2023,2023,jun,25,Turno Día,Omnivision,Ajuste eléctrico o mecánico,Eléctrico,12.9,
L1,14-06-2023,2023,jun,25,Turno Día,Llenadora,Espumado al inicio de proceso,Paros Menores,9.57,
