linea,fecha,año,mes,semana,min,oee
L1,11-07-2023,2023,jul,29,450,0.59
L1,12-07-2023,2023,jul,29,450,0.66
L1,12-07-2023,2023,jul,29,450,0.81
L1,13-07-2023,2023,jul,29,450,0.45
L1,14-07-2023,2023,jul,29,450,0.45
L1,14-07-2023,2023,jul,29,540,0.71
L1,15-07-2023,2023,jul,29,450,0.64
L1,15-07-2023,2023,jul,29,450,0.49
L1,22-06-2023,2023,jun,26,4141.76,0.73
L1,17-07-2023,2023,jul,30,5345,0.73
L1,24-07-2023,2023,jul,31,420,0.44
L1,25-07-2023,2023,jul,31,990,0.71
L1,26-07-2023,2023,jul,31,450,0.81
L1,31-07-2023,2023,jul,32,900,0.67
L1,01-08-2023,2023,ago,32,930,0.79
L1,02-08-2023,2023,ago,32,900,0.82
L1,03-08-2023,2023,ago,32,1020,0.76
L1,04-08-2023,2023,ago,32,1020,0.67
L1,05-08-2023,2023,ago,32,900,0.51
L1,07-08-2023,2023,ago,33,900,0.79
L1,08-08-2023,2023,ago,33,900,0.78
L1,09-08-2023,2023,ago,33,900,0.74
L1,10-08-2023,2023,ago,33,900,0.69
L1,11-08-2023,2023,ago,33,1080,0.67
L1,12-08-2023,2023,ago,33,900,0.68
L1,14-08-2023,2023,ago,34,990,0.85
L1,16-08-2023,2023,ago,34,1027,0.86
L1,17-08-2023,2023,ago,34,1005,0.73
L1,18-08-2023,2023,ago,34,1020,0.73
L1,19-08-2023,2023,ago,34,900,0.75
L1,21-08-2023,2023,ago,35,210,0.53
L1,22-08-2023,2023,ago,35,960,0.68
L1,23-08-2023,2023,ago,35,960,0.69
L1,24-08-2023,2023,ago,35,960,0.64
L1,25-08-2023,2023,ago,35,960,0.82
L1,26-08-2023,2023,ago,35,900,0.77
L1,29-08-2023,2023,ago,36,900,0.59
L1,30-08-2023,2023,ago,36,900,0.72
L1,31-08-2023,2023,ago,36,990,0.81
L1,01-09-2023,2023,sept,36,1020,0.74
L1,02-09-2023,2023,sept,36,900,0.45
L1,04-09-2023,2023,sept,37,900,0.64
L1,05-09-2023,2023,sept,37,1020,0.67
L1,06-09-2023,2023,sept,37,1020,0.73
L1,07-09-2023,2023,sept,37,1020,0.66
L1,08-09-2023,2023,sept,37,1020,0.52
L1,09-09-2023,2023,sept,37,900,0.78
L1,11-09-2023,2023,sept,38,840,0.71
L1,12-09-2023,2023,sept,38,1020,0.70
L1,13-09-2023,2023,sept,38,1020,0.73
L1,14-09-2023,2023,sept,38,1020,0.62
L1,15-09-2023,2023,sept,38,1020,0.63
L1,16-09-2023,2023,sept,38,900,0.64
L1,20-09-2023,2023,sept,39,570,0.95
L1,21-09-2023,2023,sept,39,1020,0.75
L1,22-09-2023,2023,sept,39,1020,0.70
L1,23-09-2023,2023,sept,39,900,0.81
