"Machine Name","Days in Calendar DateTime","Shift Name","ReasonState Group1","ReasonState Group2","ReasonState Name","Reason Occurrences","Scheduled Hours"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Turno Noche","Mantenimiento","Omnivision","Falla Servomotor","1","0.999428571444445"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Turno Noche","Mantenimiento","Omnivision","Falla Servomotor","7","0.859902184"
"TAL - Línea One Way V2","19/1/25","Día Tarde","Mantenimiento","Túnel","Ajuste de rodillo ( Balanza)","1","0.776051666666667"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Turno Noche","Mantenimiento","Omnivision","Falla Servomotor","0","0.567880793666667"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","8","0.456824444444444"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Turno Noche","Mantenimiento","Omnivision","Falla Servomotor","6","0.421187183777778"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Reparación - Coronador","9","0.412829722222222"
"TAL - Línea Ref Pet (Llenadora)","19/1/25","Turno  Tarde","Mantenimiento","Omnivision","Ajuste eléctrico o mecánico","3","0.376418651388889"
"TAL - Línea One Way V2","17/1/25","Día Tarde","Mantenimiento","Túnel","Ajuste de rodillo ( Balanza)","7","0.37122722225"
"TAL - Línea Ref Pet (Llenadora)","16/1/25","Turno Día","Mantenimiento","Lavadora de Cajas","Reparación guia de cajas","3","0.359854207361111"
"TAL - Línea RGB","18/1/25","Turno Dia","Mantenimiento","Codificador","cabezal sucio","1","0.353434722222222"
"TAL - Línea RGB","15/1/25","Turno Dia","Mantenimiento","Coronador","Cambio o reparación - Coronador","8","0.347221111111111"
"TAL - Línea One Way V2","13/1/25","Turno Día","Mantenimiento","Capsuladora","Cambio de cabezal","1","0.345777341277778"
"TAL - Línea One Way V2","19/1/25","Día Tarde","Mantenimiento","Túnel","Producto desplazado salida recubrimiento - Mantenimiento","1","0.320923888888889"
"TAL - Línea One Way V2","19/1/25","Día Tarde","Mantenimiento","Túnel","Ajuste de rodillo ( Balanza)","3","0.270079444444444"
"TAL - Línea One Way V2","19/1/25","Día Tarde","Mantenimiento","Sopladora","Problema compresor de alta","3","0.265093333388889"
"TAL - Línea One Way V2","19/1/25","Día Tarde","Mantenimiento","Sopladora","Problema compresor de alta","1","0.260904722222222"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","3","0.257161388888889"
"TAL - Línea One Way V2","16/1/25","Día Tarde","Mantenimiento","Robopac","Problema en Soldadora","6","0.242744004444444"
"TAL - Línea One Way V2","19/1/25","Día Tarde","Mantenimiento","Túnel","Producto desplazado salida recubrimiento - Mantenimiento","4","0.239515555555556"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","8","0.236320555555556"
"TAL - Línea Ref Pet (Llenadora)","15/1/25","Turno Día","Mantenimiento","Decapsuladora","Ajustes por falla","2","0.227094182305556"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","4","0.2196525"
"TAL - Línea One Way V2","17/1/25","Turno Noche","Mantenimiento","Capsuladora","Tapas giradas en cabezal","11","0.201122419027778"
"TAL - Línea Ref Pet (Llenadora)","19/1/25","Turno  Tarde","Mantenimiento","Capsuladora","Falla sensor","4","0.196726667222222"
"TAL - Línea RGB","15/1/25","Turno Dia","Mantenimiento","Coronador","Trancónes reiterados pista de bajada","4","0.181934444444444"
"TAL - Línea One Way V2","16/1/25","Turno Día","Mantenimiento","Capsuladora","Cambio de cabezal","0","0.178680555555556"
"TAL - Línea RGB","18/1/25","Turno Noche","Mantenimiento","Paletizadora","Caída de automático - Paletizadora","1","0.170037777777778"
"TAL - Línea RGB","14/1/25","Turno Dia","Mantenimiento","Codificador","cabezal sucio","1","0.166728333333333"
"TAL - Línea One Way V2","15/1/25","Día Tarde","Mantenimiento","Paletizadora","Trabamiento de paletas","1","0.153012682083333"
"TAL - Línea One Way V2","14/1/25","Turno Día","Mantenimiento","Mixer","Falla en bomba de Jarabes","1","0.1460968255"
"TAL - Línea One Way V2","16/1/25","Turno Noche","Mantenimiento","Capsuladora","Tapa girada cabezal N° 12","3","0.146084311861111"
"TAL - Línea RGB","16/1/25","Turno Dia","Mantenimiento","Despaletizadora","Falla motor transporte - Despaletizadora","2","0.141723888888889"
"TAL - Línea One Way V2","16/1/25","Turno Día","Mantenimiento","Capsuladora","Cambio de cabezal","1","0.140334710555556"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","23","0.127983333333333"
"TAL - Línea One Way V2","19/1/25","Turno Noche","Mantenimiento","Llenadora","Cambio o reparación de pinzas - Llenadora","1","0.1191925"
"TAL - Línea Ref Pet (Llenadora)","19/1/25","Turno  Tarde","Mantenimiento","Capsuladora","Falla sensor","24","0.119140240111111"
"TAL - Línea One Way V2","16/1/25","Día Tarde","Mantenimiento","Túnel","Caída de botellas, ajuste de traspasos","3","0.113110964222222"
"TAL - Línea RGB","15/1/25","Turno Dia","Mantenimiento","Coronador","Cambio o reparación - Coronador","2","0.1079575"
"TAL - Línea Ref Pet (Llenadora)","19/1/25","Turno  Tarde","Mantenimiento","Omnivision","Ajuste eléctrico o mecánico","27","0.101906591111111"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","15","0.0979627777777778"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","13","0.0938180555555556"
"TAL - Línea One Way V2","19/1/25","Día Tarde","Mantenimiento","Túnel","Producto desplazado salida recubrimiento - Mantenimiento","2","0.0883858333611111"
"TAL - Línea One Way V2","13/1/25","Día Tarde","Mantenimiento","Llenadora","Salida llenadora, caída guía seguridad - Mantenimiento","6","0.0856352384166667"
"TAL - Línea One Way V2","19/1/25","Turno Noche","Mantenimiento","Llenadora","Cambio o reparación de pinzas - Llenadora","1","0.0841975"
"TAL - Línea One Way V2","15/1/25","Turno Día","Mantenimiento","Capsuladora","Cambio de cabezal","1","0.081239331"
"TAL - Línea One Way V2","15/1/25","Día Tarde","Mantenimiento","Túnel","Falla en motor","3","0.0796986596666667"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","3","0.0779511111111111"
"TAL - Línea One Way V2","15/1/25","Día Tarde","Mantenimiento","Llenadora","Salida llenadora, caída guía seguridad - Mantenimiento","4","0.0776035761666667"
"TAL - Línea Ref Pet (Llenadora)","13/1/25","Turno Día","Mantenimiento","Capsuladora","Trancón de tapas en pista de bajada - Mantenimiento","1","0.07653111125"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","3","0.074195"
"TAL - Línea One Way V2","13/1/25","Turno Día","Mantenimiento","Capsuladora","Cambio de cabezal","0","0.0726313888888889"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","17","0.0704588888888889"
"TAL - Línea One Way V2","14/1/25","Turno Noche","Mantenimiento","Robopac","Corte de Film en Robopack","3","0.0684771033611111"
"TAL - Línea One Way V2","17/1/25","Día Tarde","Mantenimiento","Túnel","Caída de botellas, ajuste de traspasos","1","0.0683480555555556"
"TAL - Línea One Way V2","17/1/25","Día Tarde","Mantenimiento","Túnel","Producto desplazado salida recubrimiento - Mantenimiento","2","0.0683419444444444"
"TAL - Línea One Way V2","14/1/25","Día Tarde","Mantenimiento","Sopladora","Problema en el Chiller","2","0.0662224209444444"
"TAL - Línea One Way V2","13/1/25","Turno Día","Mantenimiento","Mixer","Presión de Co2 - Mantenimiento","1","0.0657303968333333"
"TAL - Línea One Way V2","15/1/25","Turno Día","Mantenimiento","Capsuladora","Cambio de cabezal","0","0.0650097222222222"
"TAL - Línea Ref Pet (Llenadora)","16/1/25","Turno Día","Mantenimiento","Lavadora de Botellas","Caída de envase en descarga - Mantenimiento","1","0.0647426195833333"
"TAL - Línea RGB","18/1/25","Turno Dia","Mantenimiento","Omnivision","Ajuste eléctrico o mecánico","2","0.0647241666666667"
